game_result,time,kda,vis/cs_score,kill_p.
Defeat,33min 1s,4 / 10 / 12,63 Vis.,57% Kills P.
Victory,31min 0s,3 / 3 / 26,53 Vis.,69% Kills P.
Victory,17min 57s,6 / 2 / 5,18 Vis.,42% Kills P.
Victory,39min 12s,9 / 8 / 26,71 Vis.,61% Kills P.
Victory,15min 49s,6 / 0 / 9,17 Vis.,79% Kills P.
Defeat,33min 0s,2 / 6 / 6,61 Vis.,30% Kills P.
Victory,32min 30s,8 / 2 / 25,59 Vis.,63% Kills P.
Victory,31min 36s,4 / 5 / 28,60 Vis.,74% Kills P.
Victory,31min 26s,4 / 4 / 30,54 Vis.,65% Kills P.
Defeat,29min 41s,5 / 8 / 17,54 Vis.,46% Kills P.
Defeat,29min 53s,4 / 7 / 8,44 Vis.,50% Kills P.
Victory,32min 12s,14 / 7 / 19,54 Vis.,55% Kills P.
Defeat,29min 9s,7 / 8 / 22,46 Vis.,67% Kills P.
Defeat,34min 37s,3 / 11 / 6,57 Vis.,39% Kills P.
Defeat,34min 31s,4 / 7 / 8,56 Vis.,35% Kills P.
Victory,40min 41s,11 / 7 / 19,75 Vis.,54% Kills P.
Victory,20min 11s,4 / 2 / 8,30 Vis.,38% Kills P.
Defeat,32min 16s,0 / 12 / 17,52 Vis.,38% Kills P.
Victory,37min 36s,3 / 10 / 21,62 Vis.,51% Kills P.
Defeat,33min 4s,1 / 7 / 8,47 Vis.,41% Kills P.
Defeat,26min 23s,4 / 7 / 7,35 Vis.,42% Kills P.
Defeat,37min 36s,6 / 9 / 5,53 Vis.,41% Kills P.
Victory,30min 41s,10 / 2 / 16,35 Vis.,52% Kills P.
Victory,34min 58s,4 / 13 / 27,51 Vis.,63% Kills P.
Defeat,29min 50s,1 / 8 / 4,33 Vis.,20% Kills P.
Victory,18min 23s,5 / 2 / 3,18 Vis.,40% Kills P.
